Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,19.0,19.200001,18.9,19.200001,18.366062,21752200.0
2017-02-02,19.200001,19.200001,18.9,19.0,18.174747,40206000.0
2017-02-03,19.0,19.1,18.9,19.1,18.270405,48912400.0
2017-02-06,19.200001,19.299999,18.9,19.0,18.174747,77639200.0
2017-02-07,18.9,19.1,18.799999,19.0,18.174747,49866700.0
2017-02-08,19.0,19.200001,18.9,19.0,18.174747,57530300.0
2017-02-09,19.1,19.700001,19.1,19.5,18.653029999999998,142179400.0
2017-02-10,19.6,19.6,19.4,19.4,18.557373000000002,55991300.0
2017-02-13,19.4,19.4,19.4,19.4,18.557373000000002,0.0
2017-02-14,19.5,19.700001,19.200001,19.4,18.557373000000002,69731100.0
